person_id,height,bust,waist,hips,product_id,garment_bust,garment_waist,garment_hip,garment_length,garment_sleeve,label_status,bust_ease,waist_ease,hip_ease,bust_ratio,waist_ratio,hip_ratio,bust_mismatch,waist_mismatch,hip_mismatch,bust_relative_mismatch,waist_relative_mismatch,hip_relative_mismatch,mean_ease,ease_std,known_fit_dimensions,tight_dimension_count,extreme_ease_count,length_height_ratio,physical_mismatch,missing_measurement_count,measurement_complete
Jess,176.0,99.0,78.0,112.0,the-relaxed-batwing-top#Denim%20Blue,172.0,,166.0,66.0,67.0,unknown,73.0,,54.0,1.7373737373737375,,1.4821428571428572,73.0,,54.0,0.7373737373737373,,0.48214285714285715,63.5,13.435028842544403,2,0,2,0.375,0.6097582972582972,1,False
Jess,176.0,99.0,78.0,112.0,sunshine-in-me-tee-1#GreyMarle,127.0,,,73.0,,positive,28.0,,,1.2828282828282829,,,28.0,,,0.2828282828282828,,,28.0,,1,0,0,0.4147727272727273,0.2828282828282828,3,False
Jess,176.0,99.0,78.0,112.0,the-boat-neck-top#Navy,57.0,53.0,62.0,62.0,64.0,unknown,-42.0,-25.0,-50.0,0.5757575757575758,0.6794871794871795,0.5535714285714286,42.0,25.0,50.0,0.42424242424242425,0.32051282051282054,0.44642857142857145,-39.0,12.767145334803704,3,3,0,0.3522727272727273,0.39706127206127206,0,True
Jess,176.0,99.0,78.0,112.0,belle-v-neck-forgiver-tunic#Scarlett,125.0,121.0,132.0,83.0,74.0,positive,26.0,43.0,20.0,1.2626262626262625,1.5512820512820513,1.1785714285714286,26.0,43.0,20.0,0.26262626262626265,0.5512820512820513,0.17857142857142858,29.666666666666668,11.930353445448855,3,0,0,0.4715909090909091,0.33082658082658084,0,True
Jess,176.0,99.0,78.0,112.0,the-oversize-knit#Ink,180.0,,,73.0,27.0,unknown,81.0,,,1.8181818181818181,,,81.0,,,0.8181818181818182,,,81.0,,1,0,1,0.4147727272727273,0.8181818181818182,2,False
Jess,176.0,99.0,78.0,112.0,monaco-knot-top#Black,86.0,76.0,82.0,64.0,70.0,unknown,-13.0,-2.0,-30.0,0.8686868686868687,0.9743589743589743,0.7321428571428571,13.0,2.0,30.0,0.13131313131313133,0.02564102564102564,0.26785714285714285,-15.0,14.106735979665885,3,3,0,0.36363636363636365,0.1416037666037666,0,True
Jess,176.0,99.0,78.0,112.0,sunshine-in-me-tee-1#White,127.0,,,73.0,,positive,28.0,,,1.2828282828282829,,,28.0,,,0.2828282828282828,,,28.0,,1,0,0,0.4147727272727273,0.2828282828282828,3,False
Jess,176.0,99.0,78.0,112.0,sand-queen-throw-blouse#Fleur,133.0,133.0,,74.0,65.0,unknown,34.0,55.0,,1.3434343434343434,1.705128205128205,,34.0,55.0,,0.3434343434343434,0.7051282051282052,,44.5,14.849242404917497,2,0,1,0.42045454545454547,0.5242812742812744,1,False
Jess,176.0,99.0,78.0,112.0,the-essential-pullover#DustyPeach,140.0,,137.0,68.0,,unknown,41.0,,25.0,1.4141414141414141,,1.2232142857142858,41.0,,25.0,0.41414141414141414,,0.22321428571428573,33.0,11.313708498984761,2,0,0,0.38636363636363635,0.3186778499278499,2,False
Jess,176.0,99.0,78.0,112.0,millie-top#Moss,104.0,100.0,110.0,65.0,72.0,unknown,5.0,22.0,-2.0,1.0505050505050506,1.2820512820512822,0.9821428571428571,5.0,22.0,2.0,0.050505050505050504,0.28205128205128205,0.017857142857142856,8.333333333333334,12.342339054382412,3,1,0,0.3693181818181818,0.1168044918044918,0,True
Jess,176.0,99.0,78.0,112.0,hannah-tee-1#Black,100.0,100.0,110.0,72.0,32.0,unknown,1.0,22.0,-2.0,1.0101010101010102,1.2820512820512822,0.9821428571428571,1.0,22.0,2.0,0.010101010101010102,0.28205128205128205,0.017857142857142856,7.0,13.076696830622021,3,1,0,0.4090909090909091,0.10333647833647834,0,True
Jess,176.0,99.0,78.0,112.0,the-sleeveless-cross-over-blouse#White,126.0,125.0,125.0,63.0,,positive,27.0,47.0,13.0,1.2727272727272727,1.6025641025641026,1.1160714285714286,27.0,47.0,13.0,0.2727272727272727,0.6025641025641025,0.11607142857142858,29.0,17.08800749063506,3,0,0,0.35795454545454547,0.33045426795426797,1,False
Jess,176.0,99.0,78.0,112.0,emerald-knit#Emerald,110.0,106.0,102.0,65.0,70.0,unknown,11.0,28.0,-10.0,1.1111111111111112,1.358974358974359,0.9107142857142857,11.0,28.0,10.0,0.1111111111111111,0.358974358974359,0.08928571428571429,9.666666666666666,19.03505538035898,3,1,0,0.3693181818181818,0.18645706145706145,0,True
Jess,176.0,99.0,78.0,112.0,cara-tee-2#Blush,102.0,,108.0,69.0,30.0,unknown,3.0,,-4.0,1.0303030303030303,,0.9642857142857143,3.0,,4.0,0.030303030303030304,,0.03571428571428571,-0.5,4.949747468305833,2,1,0,0.39204545454545453,0.03300865800865801,1,False
Jess,176.0,99.0,78.0,112.0,belle-v-neck-forgiver-tunic#Charcoal,125.0,121.0,132.0,83.0,74.0,positive,26.0,43.0,20.0,1.2626262626262625,1.5512820512820513,1.1785714285714286,26.0,43.0,20.0,0.26262626262626265,0.5512820512820513,0.17857142857142858,29.666666666666668,11.930353445448855,3,0,0,0.4715909090909091,0.33082658082658084,0,True
Jess,176.0,99.0,78.0,112.0,the-striped-top#BlueStripe,164.0,,145.0,74.0,34.0,positive,65.0,,33.0,1.6565656565656566,,1.2946428571428572,65.0,,33.0,0.6565656565656566,,0.29464285714285715,49.0,22.627416997969522,2,0,1,0.42045454545454547,0.4756042568542569,1,False
Jess,176.0,99.0,78.0,112.0,sugar-snaps-layers-tank#Black,126.0,132.0,139.0,67.0,,positive,27.0,54.0,27.0,1.2727272727272727,1.6923076923076923,1.2410714285714286,27.0,54.0,27.0,0.2727272727272727,0.6923076923076923,0.24107142857142858,36.0,15.588457268119896,3,0,1,0.3806818181818182,0.4020354645354645,1,False
Jess,176.0,99.0,78.0,112.0,belle-v-neck-forgiver-tunic#Black,125.0,121.0,132.0,83.0,74.0,positive,26.0,43.0,20.0,1.2626262626262625,1.5512820512820513,1.1785714285714286,26.0,43.0,20.0,0.26262626262626265,0.5512820512820513,0.17857142857142858,29.666666666666668,11.930353445448855,3,0,0,0.4715909090909091,0.33082658082658084,0,True
Jess,176.0,99.0,78.0,112.0,layered-tee-2#Black,108.0,112.0,122.0,68.0,69.0,positive,9.0,34.0,10.0,1.0909090909090908,1.435897435897436,1.0892857142857142,9.0,34.0,10.0,0.09090909090909091,0.4358974358974359,0.08928571428571429,17.666666666666668,14.153915830374762,3,0,0,0.38636363636363635,0.20536408036408038,0,True
Jess,176.0,99.0,78.0,112.0,the-everyday-shirt#Cream,134.0,135.0,136.0,57.0,77.0,unknown,35.0,57.0,24.0,1.3535353535353536,1.7307692307692308,1.2142857142857142,35.0,57.0,24.0,0.35353535353535354,0.7307692307692307,0.21428571428571427,38.666666666666664,16.802777548171413,3,0,1,0.32386363636363635,0.4328634328634328,0,True
Jess,176.0,99.0,78.0,112.0,lurex-stitch-top#White,130.0,126.0,130.0,67.0,35.0,positive,31.0,48.0,18.0,1.3131313131313131,1.6153846153846154,1.1607142857142858,31.0,48.0,18.0,0.31313131313131315,0.6153846153846154,0.16071428571428573,32.333333333333336,15.044378795195676,3,0,0,0.3806818181818182,0.3630767380767381,0,True
Jess,176.0,99.0,78.0,112.0,the-cotton-bamboo-tank#DarkNavy,115.0,124.0,149.0,71.0,,positive,16.0,46.0,37.0,1.1616161616161615,1.5897435897435896,1.3303571428571428,16.0,46.0,37.0,0.16161616161616163,0.5897435897435898,0.33035714285714285,33.0,15.394804318340652,3,0,0,0.4034090909090909,0.36057229807229807,1,False
Jess,176.0,99.0,78.0,112.0,stud-trim-long-sleeve-top#Mint,141.0,139.0,153.0,80.0,51.0,unknown,42.0,61.0,41.0,1.4242424242424243,1.7820512820512822,1.3660714285714286,42.0,61.0,41.0,0.42424242424242425,0.782051282051282,0.36607142857142855,48.0,11.269427669584644,3,0,1,0.45454545454545453,0.5241217116217116,0,True
